Student ID , Full Name,SEX , Programme ,Faculty/School,Age ,Region ,Year Level,Fees Paid GHS,Admission Status ,Phone Number,Email 
UCC02531,Student_0512,F,BSc. Data Science,Faculty of Education,,Bono East,300,4256.8,Deferred,0247321120,student0512@ucc.edu.gh
UCC02532,Student_0513,F,BA Geography,School of Business,25.0,Ashanti,400,6222.73,Active,0249615533,student0513@ucc.edu.gh
UCC02533,Student_0514,male,BCom Accounting,School of Medical Sciences,22.0,Volta,400,3993.77,Active,0240579303,student0514@ucc.edu.gh
UCC02534,Student_0515,Female,BSc. Data Science,Faculty of Education,19.0,Western,300,3288.67,withdrawn,0241372491,student0515@ucc.edu.gh
UCC02535,Student_0516,Male ,BA Economics,School of Agriculture,24.0,Central,100,6043.66,,0248206482,student0516@ucc.edu.gh
UCC02536,Student_0517,,BA Geography,Faculty of Science and Technology,20.0,Greater Accra,400,,Active,0240671183,student0517@ucc.edu.gh
UCC02537,Student_0518,Female,BA Econ,School of Medical Sciences,27.0,Western,300,4455.65,Active,0240885581,student0518@ucc.edu.gh
UCC02538,Student_0519,Male ,BA Geography,School of Medical Sciences,16.0,Upper East,200,3154.92,Graduated,0248338694,student0519@ucc.edu.gh
UCC02539,Student_0520,male,BEd Mathematics,School of Agriculture,,Bono East,100,5981.67,Active,0247063118,student0520@ucc.edu.gh
UCC02540,Student_0521,female,,School of Medical Sciences,20.0,Bono East,300,7654.49,Deferred,0245316813,student0521@ucc.edu.gh
UCC02541,Student_0522,M,Nursing,School of Agriculture,25.0,Bono East,100,5393.71,,0240020354,student0522@ucc.edu.gh
UCC02542,Student_0523,Female,BCom Accounting,Faculty of Science and Technology,27.0,Northern,300,4037.4,active,0248112385,student0523@ucc.edu.gh
UCC02543,Student_0524,Male ,BCom Accounting,School of Business,20.0,Northern,400,5085.14,Deferred,0248488086,student0524@ucc.edu.gh
UCC02544,Student_0525,Male ,,Faculty of Education,19.0,Volta,100,5475.35,,0247203003,student0525@ucc.edu.gh
UCC02545,Student_0526,male,Nursing,School of Business,25.0,Savannah,400,5397.78,active,0247099854,student0526@ucc.edu.gh
UCC02546,Student_0527,Male ,info tech,School of Agriculture,17.0,Oti,300,3824.39,active,0248882793,student0527@ucc.edu.gh
UCC02547,Student_0528,Male ,BSc Nursing,Faculty of Science and Technology,23.0,North East,400,4193.94,withdrawn,0243673950,student0528@ucc.edu.gh
UCC02548,Student_0529,female,BA Economics,School of Economics,22.0,Savannah,400,3903.67,,0241432595,student0529@ucc.edu.gh
UCC02549,Student_0530,male,BA Econ,School of Agriculture,22.0,North East,300,5243.78,Active,0249716615,student0530@ucc.edu.gh
UCC02550,Student_0531,Female,,Faculty of Education,20.0,Greater Accra,400,4723.32,withdrawn,0244187654,student0531@ucc.edu.gh
UCC02551,Student_0532,Male ,BA Geography,Faculty of Education,16.0,Ahafo,400,6181.61,active,0248452878,student0532@ucc.edu.gh
UCC02552,Student_0533,F,BSc Information Technology,School of Agriculture,26.0,North East,400,5096.52,Graduated,0240013946,student0533@ucc.edu.gh
UCC02553,Student_0534,male,BSc Agriculture,School of Economics,25.0,Savannah,200,5654.72,Graduated,0243072810,student0534@ucc.edu.gh
UCC02554,Student_0535,female,info tech,School of Medical Sciences,,Savannah,200,4477.68,,0249720273,student0535@ucc.edu.gh
UCC02555,Student_0536,Female,BEd Mathematics,Faculty of Education,23.0,Bono East,200,2632.78,withdrawn,0249676039,student0536@ucc.edu.gh
UCC02556,Student_0537,M,BSc. Data Science,Faculty of Education,22.0,Upper West,100,6415.83,withdrawn,0248607365,student0537@ucc.edu.gh
UCC02557,Student_0538,Male ,Nursing,School of Agriculture,26.0,Ahafo,400,4950.46,Active,0246990529,
UCC02558,Student_0539,F,Nursing,Faculty of Education,22.0,Ahafo,400,5295.76,withdrawn,0243097126,student0539@ucc.edu.gh
UCC02559,Student_0540,F,BA Econ,Faculty of Science and Technology,22.0,Bono,400,5780.22,withdrawn,0241362171,student0540@ucc.edu.gh
UCC02560,Student_0541,M,BA Econ,School of Economics,23.0,Upper West,100,5109.24,Deferred,0249623520,
UCC02561,Student_0542,male,BSc Nursing,Faculty of Education,21.0,Bono,100,2572.33,withdrawn,0247301508,student0542@ucc.edu.gh
UCC02562,Student_0543,female,BEd Mathematics,School of Agriculture,22.0,Oti,300,4377.85,,0246775760,student0543@ucc.edu.gh
UCC02563,Student_0544,Male ,BA Economics,School of Economics,22.0,Ahafo,400,4222.24,withdrawn,0242874019,
UCC02564,Student_0545,Male ,BSc. Data Science,School of Medical Sciences,20.0,North East,300,4262.01,,0249897812,student0545@ucc.edu.gh
UCC02565,Student_0546,Female,Nursing,Faculty of Education,19.0,Bono East,300,4552.01,,0242019465,student0546@ucc.edu.gh
UCC02566,Student_0547,Male ,BEd Mathematics,School of Business,22.0,Upper East,100,4866.61,Deferred,0241731370,student0547@ucc.edu.gh
UCC02567,Student_0548,F,BSc. Data Science,School of Agriculture,22.0,Bono East,200,,active,0248779868,student0548@ucc.edu.gh
UCC02568,Student_0549,male,info tech,School of Business,26.0,Volta,100,5428.1,,0240031703,student0549@ucc.edu.gh
UCC02569,Student_0550,M,BSc Data Science,School of Agriculture,19.0,Eastern,100,5664.53,active,0248153359,student0550@ucc.edu.gh
UCC02570,Student_0551,male,BSc Nursing,School of Business,21.0,Northern,200,4238.86,Deferred,0243877450,student0551@ucc.edu.gh
UCC02571,Student_0552,female,BSc Data Science,School of Business,23.0,Northern,200,6584.97,Active,0240832488,student0552@ucc.edu.gh
UCC02572,Student_0553,female,BSc. Data Science,School of Agriculture,24.0,Upper East,100,4960.98,withdrawn,0242622315,student0553@ucc.edu.gh
UCC02573,Student_0554,,Nursing,Faculty of Science and Technology,22.0,North East,400,4781.91,,0244991911,student0554@ucc.edu.gh
UCC02574,Student_0555,M,BA Geography,School of Agriculture,25.0,Western North,300,2653.87,Active,0243284016,student0555@ucc.edu.gh
UCC02575,Student_0556,F,Nursing,School of Medical Sciences,22.0,Western,400,5649.67,Graduated,0247561553,student0556@ucc.edu.gh
UCC02576,Student_0557,Female,BA Econ,Faculty of Education,20.0,Ahafo,300,5917.82,Active,0243129532,student0557@ucc.edu.gh
UCC02577,Student_0558,M,BSc. Data Science,School of Medical Sciences,22.0,Western North,400,5883.14,withdrawn,0240203306,student0558@ucc.edu.gh
UCC02578,Student_0559,Female,BSc Nursing,School of Agriculture,25.0,Western North,200,3115.92,active,0244046594,student0559@ucc.edu.gh
UCC02579,Student_0560,female,,School of Business,26.0,Upper East,400,5927.43,withdrawn,0247805174,student0560@ucc.edu.gh
UCC02580,Student_0561,F,BSc. Data Science,School of Agriculture,26.0,Oti,100,4426.55,,0240494135,student0561@ucc.edu.gh
UCC02581,Student_0562,male,BEd Mathematics,School of Medical Sciences,,Oti,300,3291.8,withdrawn,0240865077,student0562@ucc.edu.gh
UCC02582,Student_0563,female,BA Economics,School of Medical Sciences,23.0,Ashanti,300,,withdrawn,0243308796,student0563@ucc.edu.gh
UCC02583,Student_0564,F,BCom Accounting,Faculty of Science and Technology,24.0,Bono,400,6615.4,Active,0241632939,student0564@ucc.edu.gh
UCC02584,Student_0565,F,BEd Mathematics,School of Agriculture,17.0,Savannah,200,5582.1,active,0245616911,student0565@ucc.edu.gh
UCC02585,Student_0566,Male ,BA Economics,School of Business,20.0,Central,100,5428.93,active,0240602705,student0566@ucc.edu.gh
UCC02586,Student_0567,male,BSc. Data Science,School of Economics,23.0,Western North,200,6679.2,,0241815380,student0567@ucc.edu.gh
UCC02587,Student_0568,F,Nursing,School of Medical Sciences,19.0,Central,100,4215.02,Active,0240925268,student0568@ucc.edu.gh
UCC02588,Student_0569,M,Nursing,School of Agriculture,26.0,Upper West,100,7779.2,Active,0249132542,student0569@ucc.edu.gh
UCC02589,Student_0570,Female,Nursing,School of Medical Sciences,26.0,Oti,100,4850.63,Active,0248729444,student0570@ucc.edu.gh
UCC02590,Student_0571,,BSc Agriculture,School of Business,21.0,North East,400,5994.75,Graduated,0247227849,student0571@ucc.edu.gh
UCC02591,Student_0572,male,Nursing,Faculty of Science and Technology,20.0,Ashanti,100,5447.0,Graduated,0247431316,student0572@ucc.edu.gh
UCC02592,Student_0573,male,BSc Data Science,School of Agriculture,24.0,Ashanti,100,3592.71,withdrawn,0246834334,student0573@ucc.edu.gh
UCC02593,Student_0574,,BCom Accounting,Faculty of Education,18.0,North East,100,4824.06,,0242860002,student0574@ucc.edu.gh
UCC02594,Student_0575,female,BA Economics,School of Business,,Ahafo,300,6580.92,Graduated,0248784698,student0575@ucc.edu.gh
UCC02595,Student_0576,male,BSc Information Technology,School of Agriculture,32.0,Northern,300,3872.36,Active,0244772479,student0576@ucc.edu.gh
UCC02596,Student_0577,male,BSc Nursing,Faculty of Education,19.0,Ashanti,400,6431.48,Active,0242256656,student0577@ucc.edu.gh
UCC02597,Student_0578,Male ,info tech,School of Economics,20.0,Upper East,400,5596.77,Active,0246377194,student0578@ucc.edu.gh
UCC02598,Student_0579,male,BSc Nursing,Faculty of Education,21.0,Central,300,3228.13,active,0241224726,student0579@ucc.edu.gh
UCC02599,Student_0580,Female,BSc Information Technology,School of Medical Sciences,20.0,Bono,300,4799.78,,0244999315,student0580@ucc.edu.gh
UCC02600,Student_0581,Female,Nursing,Faculty of Science and Technology,20.0,Central,100,,active,0243348044,student0581@ucc.edu.gh
UCC02601,Student_0582,Female,BSc Agriculture,School of Agriculture,28.0,Upper East,300,3575.99,Graduated,0241230920,student0582@ucc.edu.gh
UCC02602,Student_0583,F,,School of Agriculture,23.0,North East,400,5160.89,Deferred,0240833387,student0583@ucc.edu.gh
UCC02603,Student_0584,,BSc Nursing,School of Economics,25.0,North East,400,3172.11,Deferred,0243515047,student0584@ucc.edu.gh
UCC02604,Student_0585,,BSc Information Technology,Faculty of Science and Technology,26.0,Eastern,100,5853.13,Active,0240126737,student0585@ucc.edu.gh
UCC02605,Student_0586,M,info tech,School of Agriculture,17.0,Northern,200,3734.15,active,0240234816,student0586@ucc.edu.gh
UCC02606,Student_0587,,BA Econ,Faculty of Science and Technology,20.0,Greater Accra,200,4424.81,,0242918270,student0587@ucc.edu.gh
UCC02607,Student_0588,Female,info tech,School of Agriculture,20.0,Ashanti,300,4796.64,withdrawn,0244456247,student0588@ucc.edu.gh
UCC02608,Student_0589,Male ,BSc Information Technology,Faculty of Education,16.0,Ahafo,100,6619.53,Graduated,0245162983,student0589@ucc.edu.gh
UCC02609,Student_0590,Male ,BSc. Data Science,School of Agriculture,24.0,North East,300,3281.48,active,0243399702,student0590@ucc.edu.gh
UCC02610,Student_0591,Male ,BA Econ,Faculty of Science and Technology,,Ahafo,100,4196.53,Active,0247656073,student0591@ucc.edu.gh
UCC02611,Student_0592,Male ,BA Geography,School of Economics,27.0,North East,300,4984.93,Active,0240314004,student0592@ucc.edu.gh
UCC02612,Student_0593,female,BEd Mathematics,Faculty of Science and Technology,24.0,Upper East,400,4722.33,Deferred,0241896367,student0593@ucc.edu.gh
UCC02613,Student_0594,,BA Geography,School of Economics,16.0,Northern,400,4931.66,,0247746612,student0594@ucc.edu.gh
UCC02614,Student_0595,Male ,BA Geography,School of Medical Sciences,20.0,Ahafo,200,4554.32,,0241286376,student0595@ucc.edu.gh
UCC02615,Student_0596,female,info tech,School of Agriculture,20.0,Greater Accra,200,5135.64,Active,0249534972,student0596@ucc.edu.gh
UCC02616,Student_0597,female,info tech,School of Medical Sciences,24.0,Central,300,2447.56,Active,0242484048,student0597@ucc.edu.gh
UCC02617,Student_0598,male,BSc Information Technology,Faculty of Education,16.0,Upper West,400,6499.47,withdrawn,0246899421,student0598@ucc.edu.gh
UCC02618,Student_0599,M,,School of Business,24.0,Volta,300,4715.07,Graduated,0248401135,student0599@ucc.edu.gh
UCC02619,Student_0600,male,BSc Agriculture,School of Agriculture,25.0,North East,400,8032.67,withdrawn,0247299537,student0600@ucc.edu.gh
UCC02620,Student_0601,female,BA Econ,School of Medical Sciences,22.0,Bono East,100,4395.01,Deferred,0248851198,student0601@ucc.edu.gh
UCC02621,Student_0602,male,Nursing,School of Agriculture,20.0,Western,400,6041.81,active,0244658473,student0602@ucc.edu.gh
UCC02622,Student_0603,F,BSc Information Technology,School of Business,26.0,Ashanti,200,3904.87,,0246818790,student0603@ucc.edu.gh
UCC02623,Student_0604,,info tech,School of Economics,18.0,Greater Accra,400,4851.14,Deferred,0249644693,student0604@ucc.edu.gh
UCC02624,Student_0605,Male ,BCom Accounting,School of Agriculture,26.0,Upper West,300,3595.77,,0240500734,student0605@ucc.edu.gh
UCC02625,Student_0606,Male ,BSc Nursing,School of Business,25.0,Greater Accra,100,4417.19,Active,0249909615,student0606@ucc.edu.gh
UCC02626,Student_0607,,BSc Data Science,Faculty of Science and Technology,24.0,North East,200,3921.63,Graduated,0248154181,student0607@ucc.edu.gh
UCC02627,Student_0608,,BA Econ,School of Economics,28.0,Volta,100,5395.76,Active,0240888738,student0608@ucc.edu.gh
UCC02628,Student_0609,female,BA Econ,Faculty of Science and Technology,23.0,Northern,200,6783.34,Graduated,0241096521,student0609@ucc.edu.gh
UCC02629,Student_0610,male,Nursing,School of Business,24.0,Volta,200,5340.98,Graduated,0247353845,student0610@ucc.edu.gh
UCC02630,Student_0611,,BA Econ,Faculty of Science and Technology,22.0,Eastern,100,8243.84,Graduated,0248510811,student0611@ucc.edu.gh
UCC02631,Student_0612,F,Nursing,School of Economics,21.0,Bono,100,,active,0243992662,student0612@ucc.edu.gh
UCC02632,Student_0613,F,info tech,School of Agriculture,24.0,Central,400,,Deferred,0242862228,student0613@ucc.edu.gh
UCC02633,Student_0614,Female,BSc. Data Science,Faculty of Science and Technology,22.0,Volta,400,7711.19,,0247670844,student0614@ucc.edu.gh
UCC02634,Student_0615,F,BEd Mathematics,School of Business,23.0,Volta,200,5893.23,,0244841566,student0615@ucc.edu.gh
UCC02635,Student_0616,female,BSc Data Science,Faculty of Science and Technology,,Bono,400,3129.24,active,0246158025,student0616@ucc.edu.gh
UCC02636,Student_0617,Female,BA Economics,Faculty of Science and Technology,21.0,Oti,400,4774.64,active,0246197588,student0617@ucc.edu.gh
UCC02637,Student_0618,male,BA Econ,Faculty of Education,25.0,Western North,200,5764.33,active,0248819964,student0618@ucc.edu.gh
UCC02638,Student_0619,F,BCom Accounting,School of Economics,17.0,Western North,400,5476.5,withdrawn,0248096948,student0619@ucc.edu.gh
UCC02639,Student_0620,F,BSc. Data Science,Faculty of Education,20.0,Northern,100,5760.62,withdrawn,0246378893,student0620@ucc.edu.gh
UCC02640,Student_0621,male,BA Geography,School of Business,19.0,Central,300,6021.22,withdrawn,0245305752,student0621@ucc.edu.gh
UCC02641,Student_0622,male,BA Econ,School of Medical Sciences,23.0,Greater Accra,100,,active,0247980597,student0622@ucc.edu.gh
UCC02642,Student_0623,Male ,BA Econ,School of Business,,Oti,300,5407.11,Active,0241303123,student0623@ucc.edu.gh
UCC02643,Student_0624,M,Nursing,School of Business,18.0,Greater Accra,100,5056.68,withdrawn,0242566042,student0624@ucc.edu.gh
UCC02644,Student_0625,M,BSc Information Technology,School of Business,24.0,Greater Accra,300,4496.41,withdrawn,0240019739,student0625@ucc.edu.gh
UCC02645,Student_0626,F,BEd Mathematics,School of Business,23.0,Upper East,300,5802.8,active,0242718380,student0626@ucc.edu.gh
UCC02646,Student_0627,male,info tech,Faculty of Education,23.0,Oti,400,5036.84,Deferred,0244963485,student0627@ucc.edu.gh
UCC02647,Student_0628,Male ,,School of Business,25.0,Bono East,200,6141.1,Active,0245103926,student0628@ucc.edu.gh
UCC02648,Student_0629,female,Nursing,Faculty of Science and Technology,24.0,Bono East,100,,Graduated,0246542343,student0629@ucc.edu.gh
UCC02649,Student_0630,M,Nursing,School of Business,22.0,Upper West,400,4412.78,Graduated,0242141111,student0630@ucc.edu.gh
UCC02650,Student_0631,Female,BA Geography,School of Medical Sciences,,Bono,100,4992.41,,0247682058,student0631@ucc.edu.gh
UCC02651,Student_0632,M,BSc Agriculture,School of Economics,27.0,Bono East,100,5618.08,Active,0240039085,student0632@ucc.edu.gh
UCC02652,Student_0633,male,,Faculty of Education,22.0,Northern,300,4846.8,active,0244412635,student0633@ucc.edu.gh
UCC02653,Student_0634,,BA Geography,Faculty of Education,26.0,Central,300,4269.1,Deferred,0247050734,student0634@ucc.edu.gh
UCC02654,Student_0635,female,BA Economics,Faculty of Education,29.0,Volta,200,4991.49,Deferred,0249126672,student0635@ucc.edu.gh
UCC02655,Student_0636,M,Nursing,Faculty of Education,24.0,Eastern,300,6512.5,Graduated,0241151389,student0636@ucc.edu.gh
UCC02656,Student_0637,,Nursing,School of Business,19.0,Bono East,100,5602.36,Deferred,0242019968,student0637@ucc.edu.gh
UCC02657,Student_0638,Male ,BSc. Data Science,School of Medical Sciences,22.0,Upper West,300,5238.08,Graduated,0248370571,student0638@ucc.edu.gh
UCC02658,Student_0639,M,Nursing,School of Agriculture,23.0,Ahafo,400,4573.43,,0247313737,student0639@ucc.edu.gh
UCC02659,Student_0640,male,BA Economics,School of Business,23.0,Upper West,400,5060.88,withdrawn,0246471239,student0640@ucc.edu.gh
UCC02660,Student_0641,male,BA Economics,School of Economics,23.0,Greater Accra,300,3658.43,,0244400041,student0641@ucc.edu.gh
UCC02661,Student_0642,Female,BA Econ,School of Economics,26.0,Upper West,200,,active,0242797917,student0642@ucc.edu.gh
UCC02662,Student_0643,Female,Nursing,School of Business,20.0,Greater Accra,300,5436.92,Deferred,0248995024,student0643@ucc.edu.gh
UCC02663,Student_0644,female,BCom Accounting,School of Business,24.0,Eastern,400,4933.2,active,0242284763,student0644@ucc.edu.gh
UCC02664,Student_0645,M,BA Economics,School of Business,,Bono East,100,4355.49,withdrawn,0242214113,student0645@ucc.edu.gh
UCC02665,Student_0646,female,BSc Agriculture,School of Medical Sciences,22.0,Oti,100,3332.5,Active,0245575534,student0646@ucc.edu.gh
UCC02666,Student_0647,,BCom Accounting,Faculty of Education,19.0,Western North,100,4652.25,Active,0246983905,student0647@ucc.edu.gh
UCC02667,Student_0648,M,BSc Data Science,School of Economics,22.0,Upper West,400,3914.88,Active,0241658553,student0648@ucc.edu.gh
UCC02668,Student_0649,F,,School of Economics,19.0,North East,400,4767.66,Graduated,0248209770,student0649@ucc.edu.gh
UCC02669,Student_0650,M,BSc Agriculture,Faculty of Education,20.0,Upper East,100,5137.49,Graduated,0248158568,student0650@ucc.edu.gh
UCC02670,Student_0651,male,,School of Agriculture,24.0,Volta,200,6533.53,Active,0244089671,student0651@ucc.edu.gh
UCC02671,Student_0652,male,,Faculty of Education,23.0,North East,200,5916.16,withdrawn,0244766319,student0652@ucc.edu.gh
UCC02672,Student_0653,F,Nursing,School of Economics,25.0,Ahafo,100,5086.69,,0242830937,student0653@ucc.edu.gh
UCC02673,Student_0654,M,BSc. Data Science,School of Economics,24.0,Western,100,7310.74,Graduated,0247991936,student0654@ucc.edu.gh
UCC02674,Student_0655,M,BEd Mathematics,School of Medical Sciences,22.0,Northern,400,5287.1,,0247070549,student0655@ucc.edu.gh
UCC02675,Student_0656,male,BA Economics,School of Economics,,North East,300,3941.78,,0246590525,student0656@ucc.edu.gh
UCC02676,Student_0657,F,BEd Mathematics,School of Business,24.0,Ashanti,400,4541.44,Active,0246588749,student0657@ucc.edu.gh
UCC02677,Student_0658,male,BA Economics,School of Business,21.0,Northern,300,7894.74,active,0242397879,student0658@ucc.edu.gh
UCC02678,Student_0659,,BSc Agriculture,Faculty of Education,22.0,Bono East,300,3938.96,Active,0242672062,student0659@ucc.edu.gh
UCC02679,Student_0660,F,BSc Data Science,Faculty of Education,20.0,Oti,300,4439.37,Active,0240663194,student0660@ucc.edu.gh
UCC02680,Student_0661,male,BSc Data Science,School of Business,25.0,Western,300,6000.02,active,0248598015,student0661@ucc.edu.gh
UCC02681,Student_0662,Male ,BSc. Data Science,Faculty of Education,16.0,Volta,100,3741.47,,0242156398,student0662@ucc.edu.gh
UCC02682,Student_0663,M,BA Geography,School of Business,24.0,Upper East,300,6035.4,Graduated,0242148057,student0663@ucc.edu.gh
UCC02683,Student_0664,female,BSc. Data Science,School of Medical Sciences,23.0,Eastern,300,6197.5,,0246528408,student0664@ucc.edu.gh
UCC02684,Student_0665,Male ,BA Economics,Faculty of Education,25.0,Western North,300,5146.52,active,0249806819,student0665@ucc.edu.gh
UCC02685,Student_0666,male,BA Economics,Faculty of Science and Technology,19.0,Volta,400,6795.29,Graduated,0245902464,student0666@ucc.edu.gh
UCC02686,Student_0667,F,BCom Accounting,School of Agriculture,22.0,Ashanti,400,4601.91,withdrawn,0247451460,student0667@ucc.edu.gh
UCC02687,Student_0668,female,,School of Economics,21.0,Oti,400,5928.25,Graduated,0249887846,student0668@ucc.edu.gh
UCC02688,Student_0669,F,info tech,School of Business,22.0,Bono East,200,1965.64,Deferred,0240682848,student0669@ucc.edu.gh
UCC02689,Student_0670,Female,BSc. Data Science,School of Agriculture,23.0,Ashanti,400,,Graduated,0247695161,student0670@ucc.edu.gh
UCC02690,Student_0671,F,BCom Accounting,School of Economics,21.0,Upper East,200,6421.58,Deferred,0245589381,student0671@ucc.edu.gh
UCC02691,Student_0672,Female,BEd Mathematics,School of Economics,22.0,Northern,400,5767.99,Graduated,0244251983,student0672@ucc.edu.gh
UCC02692,Student_0673,,info tech,Faculty of Education,26.0,Western,200,4351.69,active,0246473642,student0673@ucc.edu.gh
UCC02693,Student_0674,Female,BEd Mathematics,School of Economics,27.0,Northern,400,3009.29,Graduated,0247538819,student0674@ucc.edu.gh
UCC02694,Student_0675,M,BSc. Data Science,Faculty of Science and Technology,23.0,Western,100,6190.22,Active,0248389792,student0675@ucc.edu.gh
UCC02695,Student_0676,male,BA Economics,Faculty of Education,27.0,Western North,400,3806.27,Graduated,0249611396,student0676@ucc.edu.gh
UCC02696,Student_0677,M,BA Econ,School of Agriculture,18.0,Central,200,3965.46,active,0243114220,student0677@ucc.edu.gh
UCC02697,Student_0678,Female,BCom Accounting,School of Business,25.0,Bono,300,4486.11,active,0242355435,student0678@ucc.edu.gh
UCC02698,Student_0679,F,Nursing,School of Economics,23.0,Bono,400,5606.3,Graduated,0244901893,student0679@ucc.edu.gh
UCC02699,Student_0680,M,BA Economics,School of Economics,,Ahafo,300,,Graduated,0245410005,student0680@ucc.edu.gh
UCC02700,Student_0681,Male ,BSc. Data Science,School of Medical Sciences,24.0,Upper West,300,7246.7,Graduated,0249668280,student0681@ucc.edu.gh
UCC02701,Student_0682,,BSc Nursing,School of Agriculture,23.0,North East,400,5000.44,,0241619311,student0682@ucc.edu.gh
UCC02702,Student_0683,Female,BSc Nursing,School of Business,21.0,Bono,400,5198.77,,0240892095,student0683@ucc.edu.gh
UCC02703,Student_0684,F,BA Geography,School of Medical Sciences,25.0,Upper East,100,5389.66,withdrawn,0247661351,student0684@ucc.edu.gh
UCC02704,Student_0685,F,BSc Data Science,School of Business,22.0,Bono East,200,4275.26,Deferred,0244421673,student0685@ucc.edu.gh
UCC02705,Student_0686,Male ,BA Econ,School of Economics,20.0,Ashanti,400,5694.19,Graduated,0243839202,student0686@ucc.edu.gh
UCC02706,Student_0687,F,BSc Nursing,School of Economics,25.0,North East,200,4150.23,Graduated,0244148952,student0687@ucc.edu.gh
UCC02707,Student_0688,female,BSc. Data Science,Faculty of Science and Technology,,Bono,400,,Deferred,0244078487,student0688@ucc.edu.gh
UCC02708,Student_0689,female,BSc Information Technology,Faculty of Education,28.0,Volta,300,3688.4,Active,0247147203,student0689@ucc.edu.gh
UCC02709,Student_0690,male,Nursing,Faculty of Science and Technology,25.0,Western North,300,5922.64,withdrawn,0243933808,student0690@ucc.edu.gh
UCC02710,Student_0691,male,BSc Agriculture,School of Business,16.0,Upper East,400,5942.22,withdrawn,0246419993,student0691@ucc.edu.gh
UCC02711,Student_0692,M,BA Econ,School of Business,,Savannah,200,3007.01,Active,0243317381,student0692@ucc.edu.gh
UCC02712,Student_0693,M,BSc Agriculture,School of Business,23.0,Ashanti,200,5275.25,Deferred,0246446328,student0693@ucc.edu.gh
UCC02713,Student_0694,,BSc Data Science,School of Agriculture,16.0,Ahafo,300,6749.2,Deferred,0242416647,student0694@ucc.edu.gh
UCC02714,Student_0695,Male ,BSc Agriculture,School of Business,17.0,Upper West,200,,active,0248311355,student0695@ucc.edu.gh
UCC02715,Student_0696,Male ,BSc Information Technology,Faculty of Education,24.0,Volta,200,4965.43,Deferred,0241017428,student0696@ucc.edu.gh
UCC02716,Student_0697,Female,,School of Economics,19.0,Oti,100,4288.17,,0246756200,student0697@ucc.edu.gh
UCC02717,Student_0698,,BA Economics,Faculty of Science and Technology,20.0,Ashanti,300,5499.35,withdrawn,0240615097,student0698@ucc.edu.gh
UCC02718,Student_0699,F,BSc Nursing,School of Economics,23.0,Ashanti,200,4469.38,,0244821740,student0699@ucc.edu.gh
UCC02719,Student_0700,male,BSc Nursing,School of Agriculture,24.0,Upper West,100,5463.4,active,0245275152,student0700@ucc.edu.gh
UCC02720,Student_0701,Female,BA Geography,School of Medical Sciences,23.0,Bono East,400,5796.67,Graduated,0246009363,student0701@ucc.edu.gh
UCC02721,Student_0702,male,BSc. Data Science,Faculty of Science and Technology,20.0,Savannah,100,5227.13,Graduated,0248740276,
UCC02722,Student_0703,male,info tech,School of Agriculture,20.0,Ahafo,100,6234.08,Graduated,0247019644,student0703@ucc.edu.gh
UCC02723,Student_0704,male,BSc Data Science,School of Business,19.0,Western,100,5378.16,active,0249804649,student0704@ucc.edu.gh
UCC02724,Student_0705,M,BSc. Data Science,School of Business,23.0,Ahafo,100,4455.82,withdrawn,0246045534,student0705@ucc.edu.gh
UCC02725,Student_0706,female,BA Economics,School of Medical Sciences,23.0,Eastern,100,2721.86,Deferred,0247504673,student0706@ucc.edu.gh
UCC02726,Student_0707,Female,BSc Information Technology,Faculty of Science and Technology,24.0,Central,100,4337.7,active,0241355506,student0707@ucc.edu.gh
UCC02727,Student_0708,Male ,BSc Information Technology,Faculty of Education,23.0,Ahafo,400,4698.45,withdrawn,0246432772,student0708@ucc.edu.gh
UCC02728,Student_0709,Male ,BEd Mathematics,Faculty of Education,23.0,Eastern,400,5570.68,Deferred,0244799510,student0709@ucc.edu.gh
UCC02729,Student_0710,male,BCom Accounting,School of Business,25.0,Western North,300,2651.47,Active,0246199356,student0710@ucc.edu.gh
UCC02730,Student_0711,male,BSc Nursing,School of Business,23.0,Volta,300,2750.13,withdrawn,0246639952,student0711@ucc.edu.gh
UCC02731,Student_0712,M,BA Economics,School of Business,25.0,North East,400,2612.39,,0247074731,student0712@ucc.edu.gh
UCC02732,Student_0713,M,BEd Mathematics,School of Agriculture,21.0,Upper West,400,4792.79,,0243790453,student0713@ucc.edu.gh
UCC02733,Student_0714,Male ,BSc Information Technology,School of Medical Sciences,20.0,Central,300,3307.65,Active,0243329452,student0714@ucc.edu.gh
UCC02734,Student_0715,male,info tech,School of Medical Sciences,26.0,Bono,100,5427.71,Graduated,0242815770,student0715@ucc.edu.gh
UCC02735,Student_0716,male,BA Geography,School of Economics,21.0,Bono,200,4425.4,Graduated,0240702821,student0716@ucc.edu.gh
UCC02736,Student_0717,,BCom Accounting,School of Medical Sciences,22.0,Upper West,100,3015.36,withdrawn,0240092565,student0717@ucc.edu.gh
UCC02737,Student_0718,Female,info tech,Faculty of Science and Technology,20.0,Savannah,400,6131.22,,0245834039,student0718@ucc.edu.gh
UCC02738,Student_0719,Male ,BA Economics,School of Medical Sciences,29.0,Upper East,300,4869.36,Active,0245619526,student0719@ucc.edu.gh
UCC02739,Student_0720,M,Nursing,Faculty of Science and Technology,18.0,Ashanti,300,6180.78,active,0248379522,student0720@ucc.edu.gh
UCC02740,Student_0721,Female,BA Geography,Faculty of Education,26.0,Northern,100,4939.55,Deferred,0242314768,student0721@ucc.edu.gh
